filename,type,status,start_time,estimated_time,print_duration,filament_used,slicer,energy_consumption,average_power,max_power,average_current,max_current
[a]_fan_grill_x2_ABS_11h10m.gcode,job,completed,"Mar 21, 2025 5:57 PM",40199,39287,57542.578,OrcaSlicer 2.2.0,--,--,--,--,--
[a]_headless_skirt_accent_x1_ABS_12h1m.gcode,job,completed,"Mar 21, 2025 6:14 AM",43257,41656,78819.244,OrcaSlicer 2.2.0,--,--,--,--,--
headless_front_skirt_x1_ABS_9h23m.gcode,job,completed,"Mar 20, 2025 8:06 PM",33796,32495,66865.301,OrcaSlicer 2.2.0,--,--,--,--,--
b_drive_lower_pinned_x1_ABS_1h29m.gcode,job,completed,"Mar 20, 2025 6:36 PM",5351,4976,7773.312,OrcaSlicer 2.2.0,--,--,--,--,--
b_drive_lower_pinned_x1_ABS_1h29m.gcode,job,completed,"Mar 20, 2025 5:00 PM",5351,4977,7773.312,OrcaSlicer 2.2.0,--,--,--,--,--
b_drive_upper_pinned_x1_ABS_17h35m.gcode,job,completed,"Mar 19, 2025 8:19 PM",63289,57471,99303.161,OrcaSlicer 2.2.0,--,--,--,--,--
ringing_tower (1)_ABS_35m30s.gcode,job,completed,"Mar 19, 2025 7:03 PM",2130,2049,4681.296,OrcaSlicer 2.2.0,--,--,--,--,--
ringing_tower (1)_ABS_3h13m.gcode,job,cancelled,"Mar 19, 2025 6:47 PM",11554,466,1025.772,OrcaSlicer 2.2.0,--,--,--,--,--
Cube_ABS_9m27s.gcode,job,completed,"Mar 19, 2025 6:15 PM",567,589,564.232,OrcaSlicer 2.2.0,--,--,--,--,--
Cube_ABS_9m27s.gcode,job,completed,"Mar 19, 2025 5:40 PM",567,589,564.232,OrcaSlicer 2.2.0,--,--,--,--,--
wago_mount_412_x1_ABS_15h34m.gcode,job,completed,"Mar 18, 2025 5:04 PM",56057,52251,92432.487,OrcaSlicer 2.2.0,--,--,--,--,--
Extra hand - 150mm_ABS_3h46m.gcode,job,completed,"Mar 17, 2025 8:31 PM",13577,13282,26680.509,OrcaSlicer 2.2.0,--,--,--,--,--
rear_center_skirt_300_ABS_17h15m.gcode,job,completed,"Mar 17, 2025 4:59 AM",62111,55145,111699.737,OrcaSlicer 2.2.0,--,--,--,--,--
stealthburner_printhead_dragon_rear_cw2_ABS_10h15m.gcode,job,completed,"Mar 16, 2025 4:48 PM",36907,33119,62616.081,OrcaSlicer 2.2.0,--,--,--,--,--
Octopus_bracket_set_ABS_9h51m.gcode,job,completed,"Mar 16, 2025 7:36 AM",35471,32259,58651.077,OrcaSlicer 2.2.0,--,--,--,--,--
z_drive_main_b_x2_ABS_20h14m.gcode,job,completed,"Mar 15, 2025 9:09 AM",72853,66679,110982.582,OrcaSlicer 2.2.0,--,--,--,--,--
z_drive_main_b_x2_ABS_20h14m.gcode,job,klippy_shutdown,"Mar 15, 2025 8:50 AM",72853,346,400.69,OrcaSlicer 2.2.0,--,--,--,--,--
